variable,evidencia_s1,evidencia_s2,estado_s2,uso_s3,modelo_o_pool
temperatura_mean,Señal meteorológica y estacional inversamente relacionada con MP2.5.,"r=-0.6206; IC [-0.6307, -0.6104]",robusta,Candidata meteorológica para M1 y para el pool M2/M3.,M1_Dominio_S1_S2
humedad_mean,Variable meteorológica vinculada a condiciones de acumulación y persistencia del material particulado.,"r=0.3261; IC [0.3065, 0.3453]",robusta,Candidata meteorológica para M1 y para el pool M2/M3.,M1_Dominio_S1_S2
viento_mean,Variable física de dispersión atmosférica incorporada al análisis meteorológico.,"r=0.1846; IC [0.1591, 0.2106]",robusta,Candidata meteorológica para M1 y para el pool M2/M3.,M1_Dominio_S1_S2
radiacion_mean,Variable atmosférica con patrón estacional y análisis conjunto con temperatura.,Bootstrap específico media vs máxima exportado en CSV.,decisión documentada,Candidata meteorológica para M1 y para el pool M2/M3.,M1_Dominio_S1_S2
prop_inversion,Los días con mayor inversión térmica presentaron mayor MP2.5; el contraste alta versus baja inversión rechazó H0.,"r=0.5194; IC [0.5013, 0.5373]",robusta,Candidata meteorológica para M1 y para el pool M2/M3.,M1_Dominio_S1_S2
mes_sin,Codificación cíclica derivada del patrón mensual observado en S1.,p paramétrico=0.000000; p permutación=0.000000,concordante,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
mes_cos,Codificación cíclica derivada del patrón mensual observado en S1.,p paramétrico=0.000000; p permutación=0.000000,concordante,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
invierno,S1 identificó mayor contaminación durante el periodo frío.,p paramétrico=0.000000; p permutación=0.000000,concordante,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
es_finde,Indicador de calendario para capturar diferencias de actividad entre semana y fin de semana.,Sin validación específica en el reporte puente; se conserva como evidencia contextual de S1.,contextual / no específica,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
es_festivo,Indicador de calendario para capturar cambios de actividad en días festivos.,Sin validación específica en el reporte puente; se conserva como evidencia contextual de S1.,contextual / no específica,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
periodo_gec,Indicador temporal-operacional utilizado para representar el periodo de gestión de episodios críticos.,Sin validación específica en el reporte puente; se conserva como evidencia contextual de S1.,contextual / no específica,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
zona_geografica,S1 detectó diferencias territoriales relevantes entre Oriente y Poniente.,validado en notebook,decisión documentada,Candidata territorial/contextual y diagnóstico de subgrupos.,M1_Dominio_S1_S2
nivel_socioeconomico,S1 documentó inequidad ambiental entre Q1 y Q5.,Sin validación específica en el reporte puente; se conserva como evidencia contextual de S1.,contextual / no específica,Candidata territorial/contextual y diagnóstico de subgrupos.,M1_Dominio_S1_S2
estacion_anio,S1 mostró un patrón estacional claro de MP2.5.,p paramétrico=0.000000; p permutación=0.000000,concordante,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
temporada_critica,S1 separó Invierno del resto del año por su mayor carga de MP2.5.,p paramétrico=0.000000; p permutación=0.000000,concordante,Candidata temporal para representar estacionalidad o calendario.,M1_Dominio_S1_S2
comuna,Unidad territorial utilizada para caracterizar heterogeneidad espacial y cobertura.,Sin validación específica en el reporte puente; se conserva como evidencia contextual de S1.,contextual / no específica,Candidata territorial/contextual y diagnóstico de subgrupos.,M1_Dominio_S1_S2
estacion,Unidad instrumental y espacial del dataset estación-día.,Sin validación específica en el reporte puente; se conserva como evidencia contextual de S1.,contextual / no específica,Candidata territorial/contextual y diagnóstico de subgrupos.,M1_Dominio_S1_S2
mp10_mean,Contaminante complementario con asociación alta respecto de MP2.5.,"r=0.9011; IC [0.8961, 0.9058]",robusta,Candidata de nowcasting; se controla su alta correlación con MP2.5 y nunca se incorpora MP2.5 como predictor.,Pool M2/M3 · nowcasting
